Name,Code,Code_ICAO
Diamond Sky,,DMS
Directflight,,DCT
Divi Divi Air,3R,DVR
Dniproavia,,UDN
Donghai Airlines,DZ,EPA
Dornier Aviation Nigeria Aiep,DO,DAV
Douniah Airlines,DH,DTS
Dreamline Aviation,,DLX
Druk Air,KB,DRK
Dubai Air Wing,,DUB
E-Aviation,,EFD
E-Cargo Airlines,RF,ERF
EADS CASA,,AED
Eagle Air,,EGU
Eagle Air Iceland,,FEI
Eagle Airways,,EAG
Eagle Atlantic Airlines,,EAB
Eagle Creek Aviation,,EGC
EagleMed,,EMD
East Coast Jets,,ECJ
East-West Express,,EWU
Eastar Jet,ZE,ESR
Eastern Airlines,2D,EAL
Eastern Airways,T3,EZE
Eastern Australia Airlines,,EAQ
EasyFly,VE,EFY
easyJet,U2,EZY
easyJet Europe,EC,EJU
easyJet Switzerland,DS,EZS
EATIS,,SRK
Eclair Aviation,,ECC
ECO Airlines,,EKO
EcoJet,8J,ECO
Edelweiss Air,WK,EDW
EGO Airways,E3,EGW
EGT Jet,,EGT
EgyptAir,MS,MSR
EgyptAir Cargo,,MSX
El Al,LY,ELY
Elitavia,,EAV
Elitavia Malta,,EAU
Elite Airways,7Q,MNU
Ellinair,EL,ELB
Embraer,,EMB
Emerald Airlines,,EAI
Emetebe.com.ec,,EMT
Emirates,EK,UAE
Emperor Aviation,,EMM
Empire Airlines,EM,CFS
Empire Aviation,,MJE
ENAC Ecole Aviation Civile,,NAK
Encore Air Cargo,,DKT
Endeavor Air,9E,EDV
Enter Air,E4,ENT
Envoy Air,MQ,ENY
Epsilon Aviation,,GRV
equair,,EQX
Eritrean Airlines,B8,ERT
Estafeta,E7,ESF
Estelar,ES,ETR
ETF Airways,LI,EZZ
Ethiopian Airlines,ET,ETH
Etihad Airways,EY,ETD
Euro Link,,EUL
Euro-Asia Air,5B,EAK
EuroAtlantic Airways,YU,MMZ
Eurocopter Deutschland,,RDF
European Air Charter,H6,BUC
European Air Transport,QY,BCS
European Cargo,,URO
European Flight Academy,,PTO
European Flight Service,,EUW
European Flyers,,FYS
European SAO,,EKT
Eurowings,EW,EWG
Eurowings Discover,4Y,OCN
Eurowings Europe,E2,EWE
EVA Air,BR,EVA
Everts Air Alaska,5V,VTS
EWA Air,ZD,EWR
Excellent Air,,ECA
Execuflight,,EFT
Execujet Middle East,,EJO
Execujet Scandinavia,,VMP
Executive Jet Charter,,EXJ
Executive Jet Management,,EJM
Executive Jet Management,,JME
Exploits Valley Air Services,8K,EVS
Express Air Cargo,7A,XRC
Express Freighters Australia,QE,EFA
ExpressJet,EV,ASQ
ExpressJet Airlines,XE,BTA
Exxaero,,XRO
EZ Air,7Z,EZR
Eznis Airways,MG,EZA
FAI rent-a-jet,,IFA
Far Eastern Air Transport,FE,FEA
Fastjet,FN,FTZ
Fastjet Zimbabwe,FN,FJW
FedEx,FX,FDX
Fenix Air Charter,,FNX
Feuerwehr-Flugdienst Niedersachsen,,FFD
Fiji Airways,FJ,FJI
Fiji Link,,FJA
Finnair,AY,FIN
Firefly,FY,FFM
First Air,7F,FAB
First Nation Airways,,FRN
FitsAir,8D,EXV
Flair Airlines,F8,FLE
Fleet Air International,,FRF
Flexflight,W2,FXT
Flexjet,,LXJ
Flexjet Europe,,FLJ
Flexjet Operations Malta,,FJO
Flight Calibration Services,,FCK
Flight Calibration Services,,VOR
Flight options,,OPT
Flight Training Europe,,AYR
FlightExec,,FEX
Flightline,,FTL
Fltplan,,DCM
Flugfelag Islands,NY,FXI
Fly 7,,FSF
Fly Africa Zimbabwe,ZC,FZW
Fly Air41,,BER
Fly AllWays,8W,EDR
Fly Angola,EQ,FLA
Fly Armenia Airways,VF,FBB
Fly Art,T2,FLB
Fly Baghdad,IF,FBA
Fly Gangwon,4V,FGW
Fly Jamaica,OJ,FJM
Fly Jordan,F0,FJR
Fly One,5F,FIA
Fly SAX,,EXZ
Fly Sky Airlines,,FSQ
Fly Sky Airlines,,FSU
Fly Tyrol,,FTY
Fly2Sky,,VAW
Fly540,5H,FFV
Flyadeal,F3,FAD
FlyBig,S9,FLG
Flybondi,FO,FBZ
FlyBosnia,6W,FBS
FlyDamas,4J,FDK
FlyDubai,FZ,FDB
FlyEgypt,FT,FEG
FlyGTA Airlines,SX,TOR
Flying Business Aviation,,FBX
Flying Service,,FYG
FlyMe,VP,VQI
FlyMontserrat,5M,MNT
Flynas,XY,KNE
FlyPelican,FP,FRE
Flyr,FS,FOX
FlySafair,FA,SFR
FlySchool,,FSM
FR Aviation,,FRA
Freebird Airlines,FH,FHY
Freebird Airlines Europe,,FHM
Freight Runners Express,,FRG
French Bee,BF,FBU
Frontier Airlines,F9,FFT
Fuji Dream Airlines,JH,FDA
Fuzhou Airlines,FU,FZA
Galistair,GH,GTR
Gama Aviation (UK),,GMA
Gama Aviation (US),,GAJ
Garuda Indonesia,GA,GIA
Gazpromavia,4G,GZP
GCA Airlines,9A,GCA
General Atomic AeroTech Systems,,DOR
Genex,,GNX
Genghis Khan Airlines,9D,NMG
Geo Sky Airline,,GEL
Georgian Airways,A9,TGZ
German Airways,ZQ,GER
Gesellschaft Fur Flugzieldarstellung,,GFD
Gestair,,GES
GetJet Airlines,GW,GJT
Getjet Airlines Latvia,,DML
Global Air Charters,,GJE
Global Crossing Airlines,G6,GXA
Global Jet Luxembourg,,SVW
Global Supply Systems,,GSS
GlobeAir,,GAC
Globus,GH,GLP
Go First,G8,GOW
GoJet ,G7,GJS
GOL Linhas Aereas,G3,GLO
Goldeck Flug,,GDK
Golden Myanmar Airlines,Y5,GMR
Gouvernement du Quebec,,QUE
Grafair,,GFM
Grand Canyon Airlines,YR,CVU
Grand China Air,CN,GDC
Grant Aviation,GV,GUN
Greater Bay Airlines,HB,HGB
Green Africa Airways,Q9,GWG
Greybird Aviation,,GAG
GTA Air,,GTX
Gulf Air,GF,GFA
Gulf and Caribbean Cargo,IF,TSU
Gulf Wings,,GWC
GullivAir,G2,GBG
Guna Airlines,,GUA
GX Airlines,GX,CBG
Hahn Air,HR,HHN
Hai Au Aviation,,HAI
Hainan Airlines,HU,CHH
Hangar 8,,HGR
Hans Airways,,GKS
Harmony Jets,,HMJ
Hawaiian Airlines,HA,HAL
Hebei Airlines,NS,HBH
Heli Air Monaco,YO,MCM
Heli Holland,,HHE
Heli Securite,HS,HLI
Heli Service International,,HSO
Helijet International,,JBA
Helistar,,HSR
HELITY Copter Airlines,,HTY
Helvetic Airways,2L,OAW
Hera Flight,,HER
Hermes Airlines,H3,HRM
Heron Aviation,,HRN
Heston Airlines,HN,HST
Hi Air,4H,HGG
Hi Fly,5K,HFY
Hi Fly Malta,5M,HFM
Hibernian Airlines,HG,HBN
Himalaya Airlines,H9,HIM
Hinterland Aviation,OI,HND
HiSky,H7,HYM
HiSky Europe,H4,HYS
Hokkaido Air System,,NTH
Holiday Europe,5Q,HES
Hong Kong Air Cargo,RH,HKC
Hong Kong Airlines,HX,CRK
Hong Kong Express,UO,HKE
Hop-A-Jet,,HPJ
Horizon Air,QX,QXE
HTM Helicopter Travel Munich,,HTM
Hummingbird Aviation,,ETI
Hunnu Air,MR,MML
Hydro Quebec,0Q,HYD
Hyperion Aviation,,HYP
I-Fly,F7,RSY
iAero Airways,WQ,SWQ
IBC Airways,II,CSQ
Iberia,IB,IBE
Iberia Express,I2,IBS
Iberojet,E9,EVE
Ibex Airlines,FW,IBX
Ibom Air,QI,IAN
Icaro,X8,ICD
Icelandair,FI,ICE
ICS-Aero,,ICF
IFL Group,,IFL
ImperialJet,,JTI
IndiGo,6E,IGO
Indonesia AirAsia,QZ,AWQ
iNTAIRLINE,,ITI
Intel Air Shuttle,,HGT
InterCaribbean Airways,JY,IWY
InterJet West,K8,IJW
International Committee of the Red Cross,,RED
International Jet Management,,IJM
InterSky,3L,ISK
IrAero,IO,IAE
Iran Air,IR,IRA
Iran Airtour,B9,IRB
Iran Aseman Airlines,EP,IRC
Iraqi Airways,IA,IAW
IRS Airlines,,LVB
Israir Airlines,6H,ISR
Italfly,,ITL
Italia Trasporto Aereo,AZ,ITY
Itapemirim Transportes Aereos,8I,IPM
iXAir,,IXR
Izair,4I,IZM
Izhavia,I8,IZA
J-Air,JL,JLJ
JA Air Charter,,LTD
JAL Express,JC,JEX
Jambojet,JM,JMA
Japan Air Commuter,3X,JAC
Japan Airlines,JL,JAL
Japan Transocean Air,NU,JTA
Jasmin Airways,JO,JAW
Jazeera Airways,J9,JZR
Jazz Aviation,QK,JZA
JC Airlines,QD,JCC
JC Bamford Excavators,,JCB
Jeju Air,7C,JJA
Jet Airways,9W,JAI
Jet Asia Airways,JF,JAA
Jet Aviation Business Jets,,PJS
Jet Aviation Flight Services,,JAS
Jet Aviation Zurich Airport,,VCN
Jet Charter,N2,JCT
Jet Edge,,EDG
Jet Executive,,JEI
Jet Express,,RFE
Jet Fly Airline,,JFL
Jet It,,JIT
Jet Linx Aviation,,JTL
Jet Logistics,,JLG
Jet Story,,JDI
Jet Test International,,JTN
Jet2,LS,EXS
Jetair Caribbean,4J,JRC
Jetalliance East,,PLS
Jetbee Czech,,JBC
JetBlue Airways,B6,JBU
Jetcall,,JCL
Jetclub,0J,JCS
Jetconnect,,QNZ
JetFlite,,JEF
Jetfly Aviation,,JFA
Jetkontor,,JKH
JetLite,S2,JLL
JetNetherlands,,JNL
JetRight,,JRT
JetSMART,JA,JAT
JetSMART Argentina,WJ,JES
Jetstar Airways,JQ,JST
Jetstar Asia,3K,JSA
Jetstar Japan,GK,JJP
JetStream,,JSH
Jetsuite Air,,RSP
Jettime,,JTD
Jetways Airlines,WU,JWX
Jiangsu Jingdong Cargo Airlines,,JDL
Jiangxi Air,RY,CJX
Jin Air,LJ,JNA
Jinxiang Airlines,,JXX
Jivair,,JIV
Jonair,,JON
Jonika,,JNK
Jordan Aviation,R5,JAV
Jordan International Air Cargo,,JCI
Jota Aviation,,ENZ
JoyAir,JR,JOY
JSX,XE,JSX
Jubba Airways,JZ,JBW
Juneyao Air,HO,DKH
Jung Sky,,JSY
Just Us Air,,JOC
K-Mile Air,8K,KMI
K5-Aviation Germany,,KAY
KaiserAir,,KAI
Kalitta Air,K4,CKS
Kalitta Charters,K9,KFS
Kalitta Charters II,CB,KII
Kam Air,RQ,KMF
Kamaka Air,,KMK
Kan Air,K8,KND
KAP.kg,AB,KGS
Kargo Xpress,WW,KXP
Kartika Airlines,3Y,KAE
Karun Airlines,,KRU
KD Air,,KDC
Keewatin Air,FK,KEW
Kelowna Flightcraft Air,FK,KFA
Kenmore Air,M5,KEN
Kenn Borek Air,4K,KBA
Kenya Airways,KQ,KQA
Key Air,,KEY
Key Lime Air,KG,LYM
Keystone Air Service,,KEE
Khors Air,,KHO
Kish Air,,KIS
KlasJet,,KLJ
KLM,KL,KLM
KLM Cityhopper,WA,KLC
KN Helicopters,,SHW
Komiaviatrans,KO,KMA
Korean Air,KE,KAL
Kosmos Airlines,,KSM
Krasavia,KI,SSJ
Kunming Airlines,KY,KNA
Kuwait Airways,KU,KAC
La Compagnie,B0,DJT
Labcorp,,SKQ
LADE,5U,LDE
LAM,TM,LAM
Lanmei Airlines,LQ,MKR
Lao Airlines,QV,LAO
Lao Skyway,LK,LLL
LAS Cargo,4L,LAU
Laser Airlines,QL,LER
LATAM Airlines,LA,LAN
LATAM Brasil,JJ,TAM
LATAM Cargo Brasil,M3,LTG
LATAM Cargo Chile,UC,LCO
LATAM Cargo Colombia,L7,LAE
LATAM Chile,LU,LXP
LATAM Colombia,4C,ARE
LATAM Ecuador,XL,LNE
LATAM Paraguay,PZ,LAP
LATAM Peru,LP,LPE
Lauda Europe,LW,LDA
LC Peru,W4,LCB
Leader,,LSA
Legacy Airways,,LGF
LIAT,LI,LIA
Libyan Airlines,LN,LAA
Libyan Wings,YL,LWA
Liebherr,,LHB
Lift Airline,GE,GBB
Limitless Airways,,LIM
Línea Turística Aereotuy,,TUY
Lion Air,JT,LNI
Lipican Aer,,LIP
LLC H3Operations,,UHO
Loganair,LM,LOG
LongJiang Airlines,LT,SNG
Longtail Aviation,6T,LGT
Loong Air,GJ,CDC
LOT,LO,LOT
